date,portfolio_value,capital,withdrawn,total_value,cot_stance,cot_composite,peak,drawdown,returns
2021-07-16,71608.25839614868,36104.2686958313,22782.88091659546,94391.13931274414,NEUTRAL,0,103858.29907608032,-9.115458126654962,-0.002643703760106364
2021-07-19,71124.60373306274,36104.2686958313,22782.88091659546,93907.4846496582,NEUTRAL,0,103858.29907608032,-9.581145190075524,-0.005123941363642803
2021-07-20,71723.9309425354,36104.2686958313,22782.88091659546,94506.81185913086,NEUTRAL,0,103858.29907608032,-9.004082774453225,0.006382102680191792
2021-07-21,71839.29588699341,35999.950580596924,22793.303050994873,94632.59893798828,NEUTRAL,0,103858.29907608032,-8.882968641084565,0.0013309842579909414
2021-07-22,71797.721950531,35999.950580596924,22793.303050994873,94591.02500152588,NEUTRAL,0,103858.29907608032,-8.92299812051206,-0.00043931939869523706
2021-07-23,72096.11471557617,35999.950580596924,22793.303050994873,94889.41776657104,NEUTRAL,0,103858.29907608032,-8.635690541147046,0.0031545568413107183
2021-07-26,72011.76278686523,35999.950580596924,22793.303050994873,94805.06583786011,NEUTRAL,0,103858.29907608032,-8.71690882554158,-0.0008889497975258509
2021-07-27,72098.68016815186,35999.950580596924,22793.303050994873,94891.98321914673,NEUTRAL,0,103858.29907608032,-8.633220394227148,0.0009168010223765677
2021-07-28,72010.1155090332,36055.18942260742,22940.57981109619,94950.6953201294,NEUTRAL,0,103858.29907608032,-8.57668942702957,0.0006187256182335066
2021-07-29,71942.29141235352,36055.18942260742,22940.57981109619,94882.8712234497,NEUTRAL,0,103858.29907608032,-8.641993882506938,-0.0007143085835339402
2021-07-30,71811.57350158691,36055.18942260742,22940.57981109619,94752.1533126831,NEUTRAL,0,103858.29907608032,-8.76785566912337,-0.0013776765930570978
2021-08-02,71892.84980010986,36055.18942260742,22940.57981109619,94833.42961120605,NEUTRAL,0,103858.29907608032,-8.689598756343187,0.000857777851810182
2021-08-03,72075.11401367188,36055.18942260742,22940.57981109619,95015.69382476807,NEUTRAL,0,103858.29907608032,-8.51410559384831,0.0019219405468013928
2021-08-04,71826.70313644409,35960.806941986084,23063.289463043213,94889.9925994873,NEUTRAL,0,103858.29907608032,-8.635137063070308,-0.0013229522431587037
2021-08-05,71973.95446395874,35960.806941986084,23063.289463043213,95037.24392700195,NEUTRAL,0,103858.29907608032,-8.493356070290147,0.0015518109284313741
