date,equity,cash,positions,market_mode,daily_return,cummax,drawdown
2024-09-17,17641.125995635986,347.83448791503906,8,NEUTRAL,-0.0013348471142172746,17979.133811950684,-1.8800005598157643
2024-09-18,17584.66368484497,347.83448791503906,8,NEUTRAL,-0.0032006069683411242,17979.133811950684,-2.1940441137576316
2024-09-19,17704.564708709717,347.83448791503906,8,NEUTRAL,0.0068184996889124605,17979.133811950684,-1.5271542339735045
2024-09-20,17720.349361419678,347.83448791503906,8,NEUTRAL,0.0008915583619062417,17979.133811950684,-1.4393599449101013
2024-09-23,17831.49586868286,364.2936897277832,8,NEUTRAL,0.006272252594814454,17979.133811950684,-0.8211627145779832
2024-09-24,17867.22222137451,364.2936897277832,8,NEUTRAL,0.002003553316825002,17979.133811950684,-0.6224526261759289
2024-09-25,17810.95778274536,364.2936897277832,8,NEUTRAL,-0.0031490311102663204,17979.133811950684,-0.9353956145180753
2024-09-26,17868.942893981934,364.2936897277832,8,NEUTRAL,0.0032555863611527514,17979.133811950684,-0.6128822396077038
2024-09-27,17919.22406768799,364.2936897277832,8,NEUTRAL,0.00281388630566326,17979.133811950684,-0.33321818998239827
2024-09-30,17956.856643676758,403.95395278930664,8,NEUTRAL,0.0021001230771273693,17979.133811950684,-0.12390568148015202
2024-10-01,17887.794929504395,403.95395278930664,8,NEUTRAL,-0.0038459801480167366,17979.133811950684,-0.5080271574906203
2024-10-02,17841.15055847168,403.95395278930664,8,NEUTRAL,-0.0026076087755109167,17979.133811950684,-0.7674632989676411
2024-10-03,17739.298637390137,403.95395278930664,8,NEUTRAL,-0.005708820221416722,17979.133811950684,-1.333964011108968
2024-10-04,17831.353092193604,403.95395278930664,8,NEUTRAL,0.0051892950609353505,17979.133811950684,-0.8219568378697417
2024-10-07,17652.750484466553,616.5669326782227,8,NEUTRAL,-0.010016211714479528,17979.133811950684,-1.8153451156094347
2024-10-08,17681.37310028076,616.5669326782227,8,NEUTRAL,0.0016214252753075087,17979.133811950684,-1.6561460345325463
2024-10-09,17767.425952911377,616.5669326782227,8,NEUTRAL,0.004866864815450844,17979.133811950684,-1.1775197918521774
2024-10-10,17735.3464012146,616.5669326782227,8,NEUTRAL,-0.0018055261230184305,17979.133811950684,-1.3559463614094658
2024-10-11,17871.248622894287,616.5669326782227,8,NEUTRAL,0.007662789246133839,17979.133811950684,-0.6000577679926122
2024-10-14,17983.269996643066,483.09061431884766,8,NEUTRAL,0.006268245499381209,17983.269996643066,0.0
2024-10-15,17869.997917175293,2655.333351135254,7,NEUTRAL,-0.0062987476409417376,17983.269996643066,-0.6298747640941738
2024-10-16,17990.939338684082,2655.333351135254,7,NEUTRAL,0.006767847543650118,17990.939338684082,0.0
2024-10-17,17967.98114013672,2655.333351135254,7,NEUTRAL,-0.0012760978243085974,17990.939338684082,-0.12760978243085974
2024-10-18,18029.05117034912,2655.333351135254,7,NEUTRAL,0.0033988253736523255,18029.05117034912,0.0
2024-10-21,17961.593421936035,565.90869140625,8,NEUTRAL,-0.0037416138972431456,18029.05117034912,-0.37416138972431456
2024-10-22,17900.199462890625,565.90869140625,8,NEUTRAL,-0.003418068631396154,18029.05117034912,-0.7146893435546309
2024-10-23,17816.112434387207,565.90869140625,8,NEUTRAL,-0.004697547012129211,18029.05117034912,-1.1810867579771345
2024-10-24,17842.24584197998,565.90869140625,8,NEUTRAL,0.0014668411915907953,18029.05117034912,-1.036135105525482
2024-10-25,17787.776275634766,2684.6784057617188,7,NEUTRAL,-0.003052842496826025,18029.05117034912,-1.3382561979254914
2024-10-28,17843.123428344727,508.43595123291016,8,NEUTRAL,0.003111527368700573,18029.05117034912,-1.0312674818416134
2024-10-29,17763.456840515137,508.43595123291016,8,NEUTRAL,-0.004464834206271084,18029.05117034912,-1.4731464641399739
2024-10-30,17754.328742980957,508.43595123291016,8,NEUTRAL,-0.0005138694352193607,18029.05117034912,-1.5237764027203893
2024-10-31,17578.03436279297,2495.9714736938477,7,NEUTRAL,-0.00992965618357633,18029.05117034912,-2.5016114452983684
2024-11-01,17546.62880706787,6770.045738220215,5,NEUTRAL,-0.0017866363824827758,18029.05117034912,-2.6758056135236297
2024-11-04,17549.969760894775,250.6722526550293,8,NEUTRAL,0.0001904043143352574,18029.05117034912,-2.657274667023246
2024-11-05,17729.554264068604,250.6722526550293,8,NEUTRAL,0.010232752854878457,18029.05117034912,-1.6611906164705759
2024-11-06,18089.299938201904,250.6722526550293,8,NEUTRAL,0.02029073426072392,18089.299938201904,0.0
2024-11-07,18129.55304336548,250.6722526550293,8,NEUTRAL,0.002225243945376043,18129.55304336548,0.0
2024-11-08,18254.876293182373,250.6722526550293,8,NEUTRAL,0.006912649722644826,18254.876293182373,0.0
2024-11-11,18342.308673858643,621.5868797302246,8,NEUTRAL,0.004789535643630938,18342.308673858643,0.0
2024-11-12,18231.37579727173,621.5868797302246,8,NEUTRAL,-0.006047923331756744,18342.308673858643,-0.6047923331756744
2024-11-13,18257.353183746338,621.5868797302246,8,NEUTRAL,0.001424872525445764,18342.308673858643,-0.46316683261024005
2024-11-14,18140.31057357788,2751.3456382751465,7,NEUTRAL,-0.006410710741612591,18342.308673858643,-1.101268678182521
2024-11-15,18054.088542938232,4796.743816375732,6,NEUTRAL,-0.00475306253936103,18342.308673858643,-1.5713405332185904
2024-11-18,18148.72587966919,430.2024269104004,8,NEUTRAL,0.005241878398119182,18342.308673858643,-1.0553894694038557
2024-11-19,18160.382289886475,430.2024269104004,8,NEUTRAL,0.0006422715453728856,18342.308673858643,-0.9918401614920414
2024-11-20,18169.21537399292,430.2024269104004,8,NEUTRAL,0.00048639307066600246,18342.308673858643,-0.9436832786071991
2024-11-21,18319.70072555542,430.2024269104004,8,NEUTRAL,0.008282435342689798,18342.308673858643,-0.12325574007727713
2024-11-22,18430.702671051025,430.2024269104004,8,NEUTRAL,0.006059157142275895,18430.702671051025,0.0
2024-11-25,18495.87118911743,335.1718521118164,8,NEUTRAL,0.003535867255281877,18495.87118911743,0.0
2024-11-26,18573.482536315918,335.1718521118164,8,NEUTRAL,0.004196144447856653,18573.482536315918,0.0
2024-11-27,18579.94354248047,335.1718521118164,8,NEUTRAL,0.0003478618590735394,18579.94354248047,0.0
2024-11-29,18642.694709777832,335.1718521118164,8,NEUTRAL,0.0033773604937976653,18642.694709777832,0.0
2024-12-02,18529.670879364014,544.1622657775879,8,RISK_ON,-0.006062633764771119,18642.694709777832,-0.6062633764771119
2024-12-03,18490.680828094482,544.1622657775879,8,RISK_ON,-0.002104195564150757,18642.694709777832,-0.8154072361846953
2024-12-04,18494.69626235962,544.1622657775879,8,RISK_ON,0.00021715989273007885,18642.694709777832,-0.7938683206596187
2024-12-05,18501.189220428467,544.1622657775879,8,RISK_ON,0.0003510713545515909,18642.694709777832,-0.7590398896311301
2024-12-06,18494.552631378174,2746.407024383545,7,RISK_ON,-0.0003587114845009509,18642.694709777832,-0.7946387617556172
2024-12-09,18342.06602859497,629.9396018981934,8,NEUTRAL,-0.008244946813392606,18642.694709777832,-1.6125816887683442
2024-12-10,18285.02282333374,629.9396018981934,8,NEUTRAL,-0.0031099661931377476,18642.694709777832,-1.9185632335463665
2024-12-11,18349.269596099854,629.9396018981934,8,NEUTRAL,0.003513628251211598,18642.694709777832,-1.5739415264043433
2024-12-12,18302.552013397217,629.9396018981934,8,NEUTRAL,-0.002546018655291138,18642.694709777832,-1.8245361074448962
2024-12-13,18257.831386566162,629.9396018981934,8,NEUTRAL,-0.0024434093561553905,18642.694709777832,-2.064418954464853
2024-12-16,18252.417667388916,669.1301803588867,8,NEUTRAL,-0.0002965149070895956,18642.694709777832,-2.0934583141793417
2024-12-17,18178.30800628662,669.1301803588867,8,NEUTRAL,-0.004060265464706281,18642.694709777832,-2.4909848641551102
2024-12-18,17671.27730178833,13325.059741973877,2,NEUTRAL,-0.027892073581487598,18642.694709777832,-5.210713489182483
2024-12-19,17639.387287139893,13325.059741973877,2,NEUTRAL,-0.0018046241991352963,18642.694709777832,-5.381772529438667
2024-12-20,17674.05904006958,13325.059741973877,2,NEUTRAL,0.0019655871468373665,18642.694709777832,-5.195792157666002
2024-12-23,17684.238971710205,528.1442527770996,8,NEUTRAL,0.0005759815341539465,18642.694709777832,-5.141186684588739
2024-12-24,17851.578464508057,528.1442527770996,8,NEUTRAL,0.009462634669523906,18642.694709777832,-4.243572389000427
2024-12-26,17855.62283706665,528.1442527770996,8,NEUTRAL,0.00022655545931882237,18642.694709777832,-4.2218782475602845
2024-12-27,17713.803020477295,528.1442527770996,8,NEUTRAL,-0.007942585810837732,18642.694709777832,-4.982604198379892
2024-12-30,17527.037853240967,575.9279251098633,8,NEUTRAL,-0.010543482222333922,18642.694709777832,-5.984418421826754
2024-12-31,17496.902465820312,575.9279251098633,8,NEUTRAL,-0.001719365683636176,18642.694709777832,-6.146065586519356
2025-01-02,17473.733478546143,575.9279251098633,8,NEUTRAL,-0.0013241765117814053,18642.694709777832,-6.270344762007962
2025-01-03,17643.37078857422,575.9279251098633,8,NEUTRAL,0.009708131936220221,18642.694709777832,-5.360404902621085
2025-01-06,17644.031677246094,533.1619415283203,8,NEUTRAL,3.74581864086565e-05,18642.694709777832,-5.356859875026299
2025-01-07,17557.546882629395,533.1619415283203,8,NEUTRAL,-0.0049016458482236125,18642.694709777832,-5.820767029882711
2025-01-08,17578.331886291504,533.1619415283203,8,NEUTRAL,0.001183821623889525,18642.694709777832,-5.709275617371368
2025-01-10,17388.678665161133,4671.7637939453125,6,NEUTRAL,-0.010789034042432255,18642.694709777832,-6.72658145262115
2025-01-13,17488.84447479248,682.4514083862305,8,NEUTRAL,0.005760403740856512,18642.694709777832,-6.189288903498335
2025-01-14,17598.20529937744,682.4514083862305,8,NEUTRAL,0.006253176117072101,18642.694709777832,-5.602674005344143
2025-01-15,17851.26880645752,682.4514083862305,8,NEUTRAL,0.014380074716427549,18642.694709777832,-4.24523340451003
2025-01-16,17962.774017333984,682.4514083862305,8,NEUTRAL,0.006246346525022872,18642.694709777832,-3.6471159509319118
2025-01-17,18076.092071533203,682.4514083862305,8,NEUTRAL,0.006308494116213259,18642.694709777832,-3.0392743488281915
2025-01-21,18258.948013305664,404.87783432006836,8,NEUTRAL,0.010115900109870957,18642.694709777832,-2.058429333560341
