date,overnight_high,overnight_low,overnight_mid,current_es,futures_bias,spy_premarket,yesterday_high,yesterday_low,yesterday_close,gap_percent,gap_type
2026-04-23,7169.5,7105.5,7137.5,7148.5,Inside overnight range,711.21,711.45,708.22,711.21,0.0,Flat open likely
2026-04-24,7189.5,7135.5,7162.5,7165.75,Inside overnight range,708.44,712.36,702.28,708.45,-0.0,Flat open likely
2026-04-27,7208.5,7171.5,7190.0,7187.25,Inside overnight range,713.98,714.47,709.01,713.94,0.01,Flat open likely
2026-04-28,7223.25,7147.5,7185.38,7163.5,Inside overnight range,715.16,715.63,712.3,715.17,-0.0,Flat open likely
2026-04-29,7188.5,7161.25,7174.88,7170.25,Inside overnight range,711.68,712.88,709.25,711.69,-0.0,Flat open likely
2026-04-30,7211.5,7133.75,7172.62,7202.0,Inside overnight range,711.58,712.2,708.37,711.58,0.0,Flat open likely
2026-05-01,7271.5,7246.25,7258.88,7262.25,Inside overnight range,718.39,719.79,710.45,718.66,-0.04,Flat open likely
2026-05-04,7274.5,7213.75,7244.12,7255.25,Inside overnight range,720.31,720.81,719.25,720.31,0.0,Flat open likely
2026-05-06,7366.25,7293.5,7329.88,7348.25,Inside overnight range,730.04,730.09,727.82,730.07,-0.0,Flat open likely
2026-05-07,7410.5,7377.0,7393.75,7390.0,Inside overnight range,734.62,735.13,733.55,734.62,0.0,Flat open likely
2026-05-08,7412.5,7336.25,7374.38,7414.5,Bullish breakout,736.5,736.89,734.57,736.47,0.0,Flat open likely
2026-05-11,7420.75,7390.5,7405.62,7432.25,Bullish breakout,739.19,739.22,736.45,739.19,0.0,Flat open likely
2026-05-12,7443.75,7398.75,7421.25,7395.75,Bearish breakdown,735.67,737.22,734.66,735.67,0.0,Flat open likely
2026-05-13,7454.25,7410.0,7432.12,7417.0,Inside overnight range,737.59,738.47,735.47,737.59,0.0,Flat open likely
2026-05-14,7499.25,7471.75,7485.5,7496.75,Inside overnight range,745.08,745.89,743.56,745.04,0.01,Flat open likely
2026-05-15,7528.25,7429.75,7479.0,7435.25,Inside overnight range,739.91,741.92,737.96,739.85,0.01,Flat open likely
2026-05-18,7453.25,7375.0,7414.12,7437.25,Inside overnight range,737.61,741.4,736.44,737.61,0.0,Flat open likely
2026-05-19,7440.75,7380.0,7410.38,7371.25,Bearish breakdown,732.6,736.28,732.52,732.61,-0.0,Flat open likely
2026-05-20,7416.25,7356.0,7386.12,7390.5,Inside overnight range,737.07,738.54,733.9,737.07,0.0,Flat open likely
2026-05-21,7469.75,7407.5,7438.62,7428.5,Inside overnight range,737.96,740.61,737.41,738.03,-0.01,Flat open likely
2026-05-22,7507.75,7466.75,7487.25,7496.25,Inside overnight range,745.72,748.16,745.32,745.72,0.0,Flat open likely
2026-05-25,7524.0,7354.25,7439.12,7491.0,Inside overnight range,745.59,748.94,744.48,745.64,-0.01,Flat open likely
2026-05-26,7551.25,7525.25,7538.25,7547.5,Inside overnight range,751.47,751.52,749.15,751.47,0.0,Flat open likely
2026-05-27,7570.75,7529.25,7550.0,7538.25,Inside overnight range,749.55,751.38,749.24,749.52,0.0,Flat open likely
2026-05-28,7557.75,7505.75,7531.75,7563.25,Bullish breakout,752.41,753.99,749.23,752.41,0.0,Flat open likely
2026-05-29,7595.75,7572.75,7584.25,7605.25,Bullish breakout,756.85,758.08,755.5,756.87,-0.0,Flat open likely
2026-06-01,7623.0,7577.0,7600.0,7591.0,Inside overnight range,757.05,757.3,754.69,757.05,0.0,Flat open likely
2026-06-02,7612.0,7576.5,7594.25,7611.75,Inside overnight range,758.67,758.81,756.75,758.67,0.0,Flat open likely
